model,epoch,train_loss,test_acc
BaselineLSTM,1,0.6730517596006393,85.82222222222222
BaselineLSTM,2,0.5478582233190536,92.62222222222222
BaselineLSTM,3,0.32544713094830513,90.8
BaselineLSTM,4,0.23822536133229733,91.95555555555555
BaselineLSTM,5,0.19112301524728537,93.13333333333334
BaselineLSTM,6,0.16651020105928183,93.53333333333333
BaselineLSTM,7,0.15146031510084867,93.66666666666667
BaselineLSTM,8,0.14313778653740883,93.77777777777777
BaselineLSTM,9,0.13406625669449568,93.82222222222222
BaselineLSTM,10,0.12930980511009693,94.22222222222223
BaselineLSTM,11,0.11721550649963319,94.31111111111112
BaselineLSTM,12,0.11603354383260012,94.37777777777778
BaselineLSTM,13,0.10476605780422688,94.64444444444445
BaselineLSTM,14,0.11276962794363499,94.62222222222222
BaselineLSTM,15,0.09147706162184477,94.57777777777778
BaselineLSTM,16,0.08152024238370359,95.13333333333334
BaselineLSTM,17,0.08354956842958927,94.8
BaselineLSTM,18,0.07177448342554271,94.93333333333334
BaselineLSTM,19,0.06782850320450962,94.57777777777778
BaselineLSTM,20,0.07363876514136791,95.37777777777778
BaselineLSTM,21,0.06497703259810805,95.06666666666666
BaselineLSTM,22,0.06006342591717839,95.33333333333333
BaselineLSTM,23,0.056239728117361665,95.66666666666667
BaselineLSTM,24,0.05300481908489019,96.64444444444445
BaselineLSTM,25,0.04978779924567789,97.17777777777778
BaselineLSTM,26,0.04595463676378131,97.31111111111112
BaselineLSTM,27,0.04564123542513698,97.24444444444444
BaselineLSTM,28,0.04308466782094911,97.44444444444444
BaselineLSTM,29,0.03755169431678951,97.37777777777778
BaselineLSTM,30,0.034393789479508996,97.4888888888889
RandomLSM,1,0.6705581918358803,58.37777777777778
RandomLSM,2,0.6597515791654587,58.37777777777778
RandomLSM,3,0.6528703570365906,58.37777777777778
RandomLSM,4,0.6404299214482307,58.4
RandomLSM,5,0.6331924274563789,58.71111111111111
RandomLSM,6,0.6244168505072594,58.48888888888889
RandomLSM,7,0.6135121732950211,58.71111111111111
RandomLSM,8,0.6047671660780907,60.22222222222222
RandomLSM,9,0.5961615443229675,66.68888888888888
RandomLSM,10,0.5879570990800858,67.44444444444444
RandomLSM,11,0.5813903212547302,76.46666666666667
RandomLSM,12,0.5734699368476868,78.4888888888889
RandomLSM,13,0.5665968656539917,84.75555555555556
RandomLSM,14,0.5602679625153542,84.97777777777777
RandomLSM,15,0.5521464869379997,89.15555555555555
RandomLSM,16,0.5472547635436058,89.6
RandomLSM,17,0.5396433100104332,88.62222222222222
RandomLSM,18,0.5329781733453274,89.55555555555556
RandomLSM,19,0.5286997556686401,89.64444444444445
RandomLSM,20,0.5231977589428425,89.75555555555556
RandomLSM,21,0.5174160078167915,89.91111111111111
RandomLSM,22,0.5124315991997719,90.13333333333334
RandomLSM,23,0.5070176534354687,90.13333333333334
RandomLSM,24,0.5027888305485249,90.0
RandomLSM,25,0.49878978729248047,90.13333333333334
RandomLSM,26,0.49456289410591125,89.57777777777778
RandomLSM,27,0.4904014840722084,89.8
RandomLSM,28,0.4849592223763466,89.88888888888889
RandomLSM,29,0.48130515217781067,89.64444444444445
RandomLSM,30,0.4787820987403393,89.64444444444445
StructuredLSNN,1,0.6835428178310394,58.37777777777778
StructuredLSNN,2,0.6444322168827057,63.84444444444444
StructuredLSNN,3,0.6096123307943344,62.044444444444444
StructuredLSNN,4,0.572533130645752,72.46666666666667
StructuredLSNN,5,0.5255189388990402,88.06666666666666
StructuredLSNN,6,0.47466443479061127,88.4
StructuredLSNN,7,0.4199511744081974,89.2
StructuredLSNN,8,0.3681437335908413,90.04444444444445
StructuredLSNN,9,0.32867971435189247,90.6
StructuredLSNN,10,0.29176247119903564,90.4888888888889
StructuredLSNN,11,0.2639754358679056,91.28888888888889
StructuredLSNN,12,0.2396881952881813,91.73333333333333
StructuredLSNN,13,0.2233926896005869,91.53333333333333
StructuredLSNN,14,0.20544645935297012,92.77777777777777
StructuredLSNN,15,0.19141178019344807,92.6
StructuredLSNN,16,0.17866455763578415,93.44444444444444
StructuredLSNN,17,0.16676645912230015,93.75555555555556
StructuredLSNN,18,0.15662874095141888,94.06666666666666
StructuredLSNN,19,0.14614068623632193,95.0
StructuredLSNN,20,0.13702258188277483,94.97777777777777
StructuredLSNN,21,0.12956419680267572,95.37777777777778
StructuredLSNN,22,0.12182326894253492,95.75555555555556
StructuredLSNN,23,0.11445589270442724,95.91111111111111
StructuredLSNN,24,0.10821402817964554,96.22222222222223
StructuredLSNN,25,0.10136320674791932,96.4
StructuredLSNN,26,0.09799665957689285,96.55555555555556
StructuredLSNN,27,0.09235622547566891,96.62222222222222
StructuredLSNN,28,0.08789259940385818,96.82222222222222
StructuredLSNN,29,0.08463770989328623,97.0
StructuredLSNN,30,0.08093381207436323,97.2
